stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
251,고창군,2013-01-01,0.6,-5.5,0156,5.3,1408,,,,,,0.5,8.8,160,0716,5.3,160,0725,1.9,1673,140,-3.7,49,1429,73.4,4.7,1012.8,1021.6,2122,1017.3,0647,1019.6,9.8,1.7,1300,1.37,5.81,0.5,0858,6.5,0858,0.5,,,2.3,-7.9,2.8,3.0,3.7,3.9,,,,,,,,,,
251,고창군,2013-01-02,-4.7,-10.1,2332,2.5,0205,,,,,,0.0,10.2,320,0325,5.4,320,0331,3.1,2656,340,-10.9,49,1625,62.1,2.8,1023.2,1035.6,2356,1021.3,0001,1030.2,9.8,7.8,1200,2.01,11.43,,,2.5,0001,,,,2.3,-10.5,2.8,3.0,3.7,3.9,,,,,,,,,,
251,고창군,2013-01-03,-8.6,-11.6,0911,-5.8,1417,,,,,,0.2,10.1,360,0651,6.2,20,0651,2.6,2240,360,-14.3,47,1341,63.8,2.0,1029.4,1038.9,1020,1035.1,2357,1036.6,9.8,8.2,1200,2.12,11.88,0.8,0455,2.8,0455,0.8,,,1.8,-11.9,2.2,2.6,3.5,3.8,,,,,,,,,,
251,고창군,2013-01-04,-9.0,-13.7,0740,-3.4,1527,,,,,,,7.8,340,1450,4.6,360,1452,1.6,1424,340,-14.4,45,1200,66.1,2.0,1024.6,1035.6,0238,1028.5,2347,1031.8,9.9,8.6,1100,2.16,13.65,,,2.0,0001,,,,1.3,-15.1,1.8,2.1,3.2,3.5,,,,,,,,,,
251,고창군,2013-01-05,-4.5,-12.4,0051,1.5,1217,,,,,,,5.8,340,1352,3.3,360,1510,1.2,1042,340,-10.7,37,1222,63.8,2.8,1019.2,1028.6,0001,1023.9,1417,1026.2,9.9,7.5,1200,2.1,12.07,,,2.0,0001,,,,0.8,-13.0,1.4,1.8,2.9,3.2,,,,,,,,,,
251,고창군,2013-01-06,-3.0,-7.4,2331,1.0,1414,,,,,,,6.6,20,1326,3.9,360,0828,1.4,1181,340,-8.4,36,1308,67.4,3.3,1018.4,1026.4,1122,1024.5,1557,1025.3,9.9,5.9,1200,1.92,10.42,,,1.8,0001,,,,1.5,-8.0,1.9,2.1,2.9,3.2,,,,,,,,,,
251,고창군,2013-01-07,-4.3,-8.5,0710,0.3,1506,,,,,,,7.5,340,1356,4.5,340,1523,1.5,1320,320,-11.0,33,1243,60.6,2.7,1017.5,1026.3,0658,1022.9,1458,1024.5,9.9,8.1,1200,2.13,12.27,,,1.5,0001,,,,1.0,-10.3,1.6,2.0,2.8,3.2,,,,,,,,,,
251,고창군,2013-01-08,-2.8,-7.6,0346,2.0,1433,,,,,,,6.8,360,1519,3.7,320,1424,1.6,1346,20,-9.2,40,1519,62.1,3.0,1018.1,1026.8,1009,1023.7,1339,1025.1,9.9,8.0,1200,1.86,11.12,,,1.3,0001,,,,0.7,-9.7,1.4,1.9,2.6,3.0,,,,,,,,,,
251,고창군,2013-01-09,-4.8,-8.0,2102,-2.5,0001,,,,,,0.4,8.8,360,1447,5.4,360,1502,2.7,2367,360,-10.9,49,2235,62.5,2.7,1020.1,1028.4,2043,1025.7,1423,1027.2,9.9,4.6,1200,1.9,9.17,1.0,1450,2.0,1450,1.0,,,1.0,-9.5,1.5,1.9,2.6,2.9,,,,,,,,,,
251,고창군,2013-01-10,-6.5,-10.1,2337,-2.1,1538,,,,,,,8.3,340,1116,5.0,360,1015,2.1,1823,340,-15.2,24,1521,52.3,1.9,1023.4,1032.2,2134,1028.0,0432,1030.5,9.9,8.6,1200,2.19,12.99,,,2.0,0001,,,,0.8,-10.8,1.4,1.8,2.5,2.9,,,,,,,,,,
251,고창군,2013-01-11,-3.0,-10.8,0424,2.1,2046,,,,,,,5.9,20,1421,3.8,90,2034,1.3,1110,360,-11.7,35,2059,52.4,2.6,1022.0,1032.1,0235,1025.0,2029,1029.0,10.0,7.4,1200,2.08,11.72,,,1.0,0001,,,,0.3,-11.6,1.0,1.6,2.4,2.7,,,,,,,,,,
251,고창군,2013-01-12,1.1,-3.2,2358,7.7,1343,,,,,,,4.4,340,1556,2.4,320,1505,0.9,761,140,-3.7,48,0130,71.0,4.7,1018.5,1027.6,0049,1024.1,1703,1025.3,10.0,2.3,1300,1.42,8.05,,,0.5,0001,,,,0.9,-4.1,1.3,1.8,2.3,2.7,,,,,,,,,,
