stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
106,동해,2013-01-01,-1.1,-6.7,0643,4.7,1346,,,,,,,9.2,230,1548,5.2,250,0135,2.7,2366,180,-11.2,35,1854,46.5,2.7,1012.6,1020.6,0305,1013.9,1323,1017.6,9.6,7.4,,,,,,,,,,,-2.7,-9.7,,,,,,,,,,,,,,
106,동해,2013-01-02,-5.0,-7.5,2332,0.7,0056,,,,,,0.1,18.6,360,1427,8.5,250,0538,4.5,3873,290,-21.3,16,0902,30.8,1.4,1019.9,1030.0,2356,1016.6,0043,1025.1,9.7,9.0,,,,,,,,,,,-4.0,-10.5,,,,,,,,,,,,,,
106,동해,2013-01-03,-6.5,-9.7,0732,-1.3,1524,,,,,,,11.4,250,0457,6.4,250,0312,3.4,2974,290,-24.1,14,1254,24.0,0.9,1025.9,1032.6,2256,1029.6,1353,1031.2,9.7,9.0,,,,,,,,,,,-6.3,-13.0,,,,,,,,,,,,,,
106,동해,2013-01-04,-4.2,-9.6,0517,1.2,1427,,,,,,,6.5,200,0557,3.9,200,0119,2.2,1913,200,-18.1,17,1126,33.3,1.5,1023.1,1032.0,0001,1024.4,2341,1028.3,9.7,9.0,,,,,,,,,,,-5.4,-13.2,,,,,,,,,,,,,,
106,동해,2013-01-05,-1.1,-6.4,0102,3.1,1537,,,,,,,12.0,320,1244,6.8,290,1250,3.3,2842,230,-17.7,15,0949,27.5,1.6,1016.5,1024.5,0003,1018.7,1431,1021.6,9.7,8.9,,,,,,,,,,,-4.2,-11.5,,,,,,,,,,,,,,
106,동해,2013-01-06,-0.6,-4.8,0433,4.0,1457,,,,,,,5.6,230,0555,3.7,230,2257,2.0,1749,200,-14.0,22,1126,36.0,2.1,1017.6,1024.4,0952,1021.1,1406,1022.6,9.7,8.2,,,,,,,,,,,-3.3,-9.8,,,,,,,,,,,,,,
106,동해,2013-01-07,0.2,-4.8,0540,5.9,1306,,,,,,,8.4,20,1635,5.2,360,1430,2.4,2059,230,-15.0,15,1204,31.6,1.9,1016.5,1023.1,0047,1019.0,1339,1021.6,9.7,6.2,,,,,,,,,,,-2.4,-9.7,,,,,,,,,,,,,,
106,동해,2013-01-08,0.5,-3.5,0735,5.2,1531,,,,,,,10.4,250,1957,6.7,250,1958,2.6,2247,200,-15.1,20,1527,30.5,1.9,1016.9,1024.5,0935,1020.0,1545,1022.0,9.7,8.8,,,,,,,,,,,-1.8,-9.9,,,,,,,,,,,,,,
106,동해,2013-01-09,-3.0,-5.1,2357,0.9,1404,,,,,,,11.2,290,0037,6.9,320,0100,4.1,3567,270,-21.4,16,1346,23.1,1.1,1017.2,1023.7,2321,1020.2,1403,1022.4,9.8,9.1,,,,,,,,,,,-3.6,-11.1,,,,,,,,,,,,,,
106,동해,2013-01-10,-3.2,-6.5,0759,0.2,1404,,,,,,,10.6,290,0200,6.0,360,1258,3.2,2778,360,-20.6,16,1004,25.1,1.3,1021.3,1029.0,2343,1023.6,0001,1026.5,9.8,9.2,,,,,,,,,,,-4.5,-12.5,,,,,,,,,,,,,,
106,동해,2013-01-11,-0.5,-6.3,0630,4.3,1359,,,,,,,6.5,230,0040,4.3,230,0016,2.3,1985,200,-13.9,22,1110,36.0,2.1,1022.3,1030.2,0919,1024.0,2151,1027.4,9.8,8.8,,,,,,,,,,,-2.8,-11.8,,,,,,,,,,,,,,
106,동해,2013-01-12,4.0,-1.8,0156,8.9,1313,,,,,,,9.1,290,1333,6.0,230,2330,2.4,2084,250,-8.4,22,0324,41.3,3.3,1016.9,1024.3,0001,1019.8,1317,1021.9,9.8,7.2,,,,,,,,,,,-0.7,-8.4,,,,,,,,,,,,,,
106,동해,2013-01-13,2.7,-0.2,0442,6.4,1125,,,,,,,6.6,20,1322,3.9,250,0509,2.1,1826,230,-6.0,29,1031,53.1,4.0,1018.8,1026.0,0915,1021.4,2341,1023.9,9.8,1.6,,,,,,,,,,,0.0,-8.4,,,,,,,,,,,,,,
