stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
277,¿µ´ö,2013-01-01,-2.7,-9.7,0501,3.3,1345,,,,,,,19.4,270,1420,7.6,290,1250,2.4,2098,180,-8.4,45,1153,66.1,3.3,1014.2,1022.6,0314,1016.4,1345,1019.6,9.7,4.9,,,,,,,,,,,-2.9,-11.9,,,,,,,,,,,,,,
277,¿µ´ö,2013-01-02,-4.3,-9.3,2333,1.9,0315,,,,,,,15.8,320,1144,8.7,290,1151,4.4,3778,270,-18.4,21,1304,33.9,1.7,1021.0,1032.0,2252,1018.5,0116,1026.5,9.7,8.1,,,,,,,,,,,-3.7,-12.7,,,,,,,,,,,,,,
277,¿µ´ö,2013-01-03,-8.6,-11.4,0801,-5.2,1527,,,,,,,15.0,290,1505,9.2,290,1444,4.4,3761,270,-22.5,20,1534,32.3,1.0,1027.3,1035.1,1001,1031.1,1557,1032.9,9.7,8.2,,,,,,,,,,,-7.2,-14.3,,,,,,,,,,,,,,
277,¿µ´ö,2013-01-04,-5.8,-10.4,0400,0.4,1452,,,,,,,9.3,290,0006,4.8,270,0010,2.8,2404,270,-21.0,17,1330,30.0,1.2,1023.7,1033.1,0252,1025.7,2352,1029.3,9.8,8.2,,,,,,,,,,,-5.9,-13.3,,,,,,,,,,,,,,
277,¿µ´ö,2013-01-05,-2.9,-7.9,0030,1.4,1556,,,,,,,18.1,290,2137,8.7,270,2213,4.8,4128,270,-17.2,18,1020,32.4,1.6,1017.6,1025.8,0001,1020.3,1509,1023.1,9.8,7.3,,,,,,,,,,,-4.3,-10.8,,,,,,,,,,,,,,
277,¿µ´ö,2013-01-06,-0.7,-3.9,0700,5.5,1409,,,,,,,12.2,290,0032,6.6,270,0002,3.2,2774,270,-14.5,21,1540,36.0,2.0,1018.0,1024.8,0850,1021.5,1408,1023.4,9.8,7.9,,,,,,,,,,,-2.4,-7.6,,,,,,,,,,,,,,
277,¿µ´ö,2013-01-07,-0.5,-4.2,0549,4.5,1331,,,,,,,10.6,270,1821,6.2,290,1543,3.7,3168,270,-18.3,14,1319,25.5,1.5,1016.8,1024.2,1024,1019.8,1301,1022.1,9.8,5.8,,,,,,,,,,,-1.9,-7.8,,,,,,,,,,,,,,
277,¿µ´ö,2013-01-08,0.0,-3.6,0649,4.2,1455,,,,,,,12.0,320,2219,6.7,290,1307,3.3,2829,270,-15.6,20,1208,31.0,1.8,1017.3,1025.1,1012,1020.5,1542,1022.7,9.8,8.2,,,,,,,,,,,-1.7,-7.7,,,,,,,,,,,,,,
277,¿µ´ö,2013-01-09,-3.6,-6.9,2353,-0.3,1416,,,,,,,15.6,290,1059,9.7,290,1101,5.2,4483,270,-19.6,18,1241,28.4,1.3,1017.7,1024.8,2317,1021.3,1413,1023.2,9.8,8.1,,,,,,,,,,,-3.5,-9.1,,,,,,,,,,,,,,
277,¿µ´ö,2013-01-10,-4.7,-8.7,0744,-0.7,1437,,,,,,,14.3,320,0542,8.8,270,0145,4.8,4179,270,-22.3,18,1324,24.4,1.0,1022.3,1030.1,2353,1024.1,0001,1027.8,9.8,8.3,,,,,,,,,,,-5.3,-12.0,,,,,,,,,,,,,,
