stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
272,康林,2013-01-01,-8.0,-14.2,0530,-3.6,1312,,,,,,4.0,7.0,320,0007,4.9,320,0012,1.3,1151,140,-10.4,59,0001,83.0,2.8,993.4,1023.1,0246,1017.8,1434,1020.6,9.7,0.5,,,,,,,,,,,-4.0,-14.3,,,,,,,,,,,,,,
272,康林,2013-01-02,-8.2,-11.7,2356,-1.2,0255,,,,,,1.0,16.3,270,1134,10.8,320,0334,6.5,5640,290,-19.1,29,0727,42.8,1.5,1001.0,1033.8,2140,1019.4,0236,1028.5,9.7,8.3,,,,,,,,,,,-2.9,-12.6,,,,,,,,,,,,,,
272,康林,2013-01-03,-12.5,-16.4,2353,-9.6,1459,,,,,,,13.8,270,0315,9.6,320,0713,6.2,5363,290,-21.8,34,1503,46.4,1.1,1006.9,1037.1,0925,1033.3,0020,1035.0,9.7,8.4,,,,,,,,,,,-7.0,-16.2,,,,,,,,,,,,,,
272,康林,2013-01-04,-14.5,-20.9,0741,-5.2,1551,,,,,,,4.4,250,0332,2.5,320,1730,1.1,918,140,-20.1,36,1609,64.3,1.3,1003.7,1036.1,0253,1028.9,2339,1032.0,9.7,8.4,,,,,,,,,,,-9.4,-19.1,,,,,,,,,,,,,,
272,康林,2013-01-05,-9.9,-20.0,0728,-1.8,1356,,,,,,,11.7,290,1522,7.2,290,1637,3.0,2560,290,-15.4,46,1400,65.1,1.9,998.4,1029.1,0222,1022.3,1423,1026.0,9.7,8.3,,,,,,,,,,,-8.3,-18.8,,,,,,,,,,,,,,
272,康林,2013-01-06,-5.8,-11.3,0405,1.1,1512,,,,,,,11.2,320,1912,7.3,320,1603,2.6,2252,320,-13.4,30,1521,57.3,2.2,998.0,1026.9,0927,1022.7,1355,1025.1,9.8,7.4,,,,,,,,,,,-6.1,-13.8,,,,,,,,,,,,,,
272,康林,2013-01-07,-6.6,-14.4,0451,0.9,1501,,,,,,,10.1,320,2112,6.5,320,2105,2.5,2175,320,-13.8,27,1505,59.4,2.1,997.2,1027.3,0956,1021.7,1306,1024.4,9.8,5.4,,,,,,,,,,,-5.9,-15.2,,,,,,,,,,,,,,
272,康林,2013-01-08,-5.0,-12.8,0741,0.2,1418,,,,,,,11.4,320,2349,7.6,320,2322,3.3,2849,290,-13.9,29,1206,53.4,2.1,997.5,1027.1,0909,1022.2,1350,1024.6,9.8,7.9,,,,,,,,,,,-5.3,-13.8,,,,,,,,,,,,,,
272,康林,2013-01-09,-7.0,-9.7,2342,-3.8,0001,,,,,,,12.8,290,0122,8.0,320,0008,5.9,5095,290,-18.6,27,1425,39.3,1.4,998.0,1027.0,2347,1023.5,1352,1025.3,9.8,8.3,,,,,,,,,,,-5.7,-11.5,,,,,,,,,,,,,,
272,康林,2013-01-10,-9.0,-16.0,0745,-3.4,1525,,,,,,,10.2,290,1724,6.8,320,1733,3.6,3107,320,-18.5,27,1250,48.4,1.5,1002.0,1032.4,2349,1026.8,0007,1029.6,9.8,8.4,,,,,,,,,,,-7.8,-18.6,,,,,,,,,,,,,,
272,康林,2013-01-11,-7.6,-16.0,0601,0.5,1455,,,,,,,5.5,340,1852,3.4,320,1858,1.3,1125,320,-13.5,40,1230,64.4,2.3,1002.6,1033.5,0640,1026.9,2138,1030.1,9.8,8.1,,,,,,,,,,,-7.3,-17.9,,,,,,,,,,,,,,
272,康林,2013-01-12,-1.8,-10.4,0341,3.9,1405,,,,,,,13.4,320,1454,8.3,320,1415,3.5,3020,320,-7.3,55,1227,67.0,3.6,998.4,1028.2,0225,1022.8,1307,1025.1,9.9,3.7,,,,,,,,,,,-3.1,-12.2,,,,,,,,,,,,,,
272,康林,2013-01-13,-2.5,-7.3,0524,3.1,1413,,,,,,,8.7,320,0004,6.5,320,0006,1.3,1113,320,-7.4,38,1423,70.4,3.5,997.6,1027.6,0420,1021.2,1610,1024.4,9.9,0.0,,,,,,,,,,,-2.8,-8.9,,,,,,,,,,,,,,
272,康林,2013-01-14,-2.3,-9.4,0609,3.4,1142,,,,,,,14.7,270,1459,8.5,290,1416,3.7,3190,290,-8.6,34,1133,64.9,3.2,993.2,1024.2,2339,1016.1,1359,1019.8,9.9,8.1,,,,,,,,,,,-3.4,-12.8,,,,,,,,,,,,,,
272,康林,2013-01-15,-4.0,-9.9,0548,3.8,1443,,,,,,,4.9,180,1613,3.3,160,1626,1.6,1409,320,-9.2,41,1320,69.0,3.1,998.5,1028.2,0733,1023.6,2209,1025.4,9.9,7.9,,,,,,,,,,,-3.9,-11.8,,,,,,,,,,,,,,
272,康林,2013-01-16,-1.9,-8.2,0206,2.0,1301,,,,,,,10.8,320,0317,8.1,320,0248,3.6,3074,290,-7.3,43,0505,67.1,3.6,996.3,1024.6,0901,1020.4,1303,1023.0,9.9,2.4,,,,,,,,,,,-1.9,-11.6,,,,,,,,,,,,,,
272,康林,2013-01-17,-3.1,-4.5,2356,-1.0,1348,,,,,,,11.4,290,0403,7.5,320,1340,5.5,4754,290,-9.6,53,1423,60.4,2.9,1000.2,1030.1,2135,1023.9,0001,1027.1,10.0,7.4,,,,,,,,,,,-3.1,-6.6,,,,,,,,,,,,,,
272,康林,2013-01-18,-4.6,-11.5,0709,1.3,1451,,,,,,,13.8,270,1907,8.1,290,1900,3.9,3379,290,-12.9,24,1459,56.6,2.3,1002.4,1032.7,0925,1026.8,1450,1029.5,10.0,8.1,,,,,,,,,,,-4.0,-14.6,,,,,,,,,,,,,,
272,康林,2013-01-19,-2.3,-7.9,0513,3.4,1235,,,,,,,12.5,290,1417,7.6,290,1421,3.1,2653,290,-8.9,44,1226,61.8,3.2,1002.1,1032.0,2359,1026.7,1330,1028.9,10.0,6.6,,,,,,,,,,,-1.9,-9.8,,,,,,,,,,,,,,
272,康林,2013-01-20,-0.1,-7.6,0610,6.4,1542,,,,,,,3.9,320,0337,3.3,320,0621,1.1,980,20,-5.6,42,1542,68.1,4.1,1005.9,1035.3,0923,1030.9,1542,1032.6,10.0,3.0,,,,,,,,,,,-1.0,-10.8,,,,,,,,,,,,,,
272,康林,2013-01-21,1.1,0.5,1126,2.5,2344,,,,,,37.5,4.8,270,2249,3.6,290,2257,1.7,1489,320,-0.6,69,0011,88.1,5.8,997.2,1031.4,0001,1017.1,2356,1023.6,10.1,0.0,,,,,,,,,,,0.1,0.1,,,,,,,,,,,,,,
272,康林,2013-01-22,2.3,1.1,0643,5.2,1242,,,,,,3.5,5.2,290,0041,3.6,270,0045,1.2,1006,320,0.7,77,1617,89.4,6.4,994.7,1023.4,2122,1016.4,0111,1020.9,10.1,0.0,,,,,,,,,,,1.1,0.1,,,,,,,,,,,,,,
272,康林,2013-01-23,1.5,0.7,0716,2.8,2002,,,,,,2.0,10.1,320,2304,6.9,320,2332,1.8,1579,320,-0.9,67,2327,84.4,5.8,993.0,1023.1,0005,1017.1,1633,1019.2,10.1,0.0,,,,,,,,,,,0.8,0.1,,,,,,,,,,,,,,
272,康林,2013-01-24,0.0,-5.0,2354,2.8,1148,,,,,,0.3,18.0,290,2237,11.3,320,2004,5.7,4885,290,-7.0,30,2350,60.5,3.9,988.5,1017.1,0001,1011.9,1536,1014.7,10.1,0.1,,,,,,,,,,,0.3,-5.6,,,,,,,,,,,,,,
272,康林,2013-01-25,-7.3,-9.1,2251,-4.7,1421,,,,,,,19.5,320,0123,11.8,290,0901,8.4,7260,290,-19.6,23,1558,37.1,1.3,991.4,1019.7,1045,1016.1,0006,1018.5,10.2,9.1,,,,,,,,,,,-4.9,-9.7,,,,,,,,,,,,,,
272,康林,2013-01-26,-8.0,-11.5,0727,-3.9,1453,,,,,,,16.4,270,0051,10.0,290,0553,7.0,6015,290,-19.5,27,1221,40.0,1.3,994.0,1024.4,2327,1018.4,0059,1021.2,10.2,9.1,,,,,,,,,,,-6.3,-12.1,,,,,,,,,,,,,,
272,康林,2013-01-27,-6.8,-10.5,0427,-3.9,1432,,,,,,,13.2,290,0632,9.0,320,0640,6.4,5568,290,-15.4,38,1252,50.4,1.8,996.9,1025.8,2304,1021.8,1432,1024.1,10.2,8.6,,,,,,,,,,,-5.8,-11.3,,,,,,,,,,,,,,
272,康林,2013-01-28,-3.8,-12.3,0744,2.0,2131,,,,,,,11.8,290,1306,8.2,290,1309,3.0,2630,290,-11.2,28,1256,57.9,2.7,1000.0,1028.3,0949,1025.5,0002,1026.9,10.3,8.8,,,,,,,,,,,-3.3,-14.6,,,,,,,,,,,,,,
272,康林,2013-01-29,0.7,-6.3,0636,6.4,1232,,,,,,,7.5,290,1236,4.0,290,1232,1.4,1242,140,-4.2,47,1229,70.4,4.5,1000.7,1028.4,0840,1025.8,1353,1027.2,10.3,4.0,,,,,,,,,,,-0.3,-8.5,,,,,,,,,,,,,,
272,康林,2013-01-30,3.2,0.1,0456,10.0,1531,,,,,,,4.1,110,0033,3.1,340,1952,1.4,1175,160,-1.2,44,1453,74.0,5.6,1004.3,1032.7,2316,1028.2,0012,1030.6,10.3,3.9,,,,,,,,,,,2.5,-1.4,,,,,,,,,,,,,,
272,康林,2013-01-31,3.8,-3.1,0702,11.8,1515,,,,,,,4.7,290,1723,3.6,290,1725,1.5,1332,320,-1.2,37,1624,72.1,5.6,1004.9,1034.1,0858,1028.4,2307,1031.2,10.4,8.4,,,,,,,,,,,3.0,-5.1,,,,,,,,,,,,,,
272,康林,2013-02-01,5.7,3.0,0501,11.3,2112,,,,,,45.5,12.9,290,2258,8.0,320,2303,2.2,1863,320,3.7,69,0220,87.4,8.0,993.7,1028.8,0001,1013.7,1607,1019.5,10.4,0.0,,,,,,,,,,,3.4,2.3,,,,,,,,,,,,,,
272,康林,2013-02-02,2.2,-2.2,2358,8.7,0005,,,,,,,14.4,340,0057,8.8,320,0400,6.6,5702,290,-6.1,34,1447,55.1,4.0,998.0,1028.7,2348,1017.4,0001,1024.3,10.4,9.1,,,,,,,,,,,2.6,-3.4,,,,,,,,,,,,,,
272,康林,2013-02-03,-1.1,-6.2,0654,2.7,1444,,,,,,0.4,7.7,320,0106,5.3,320,0136,1.2,1068,160,-8.0,28,1347,61.1,3.4,999.1,1030.8,0732,1020.0,2253,1025.7,10.4,0.5,,,,,,,,,,,-0.4,-7.7,,,,,,,,,,,,,,
