stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
138,포항,2013-01-01,-0.9,-6.5,0754,5.3,1332,,,,,0.5,0.0,9.9,290,1411,4.9,270,1418,1.7,1473,250,-7.4,43,1154,62.1,3.6,1019.5,1022.6,0235,1016.3,1315,1019.8,9.8,5.4,1300,1.65,8.7,,,,,,4.4,3.8,-2.2,-8.4,-1.0,0.4,1.6,2.5,4.4,8.8,11.9,16.5,17.0,,0.8,0.0,{눈}1545-1615.,
138,포항,2013-01-02,-2.9,-7.6,2400,1.0,0525,,,,,0.75,0.0,15.5,290,1522,7.3,290,0931,3.3,2883,290,-16.9,18,1155,35.8,1.9,1026.7,1032.2,2355,1019.0,0116,1027.0,9.8,8.9,1200,2.02,11.51,,,,,,2.3,2.3,-2.6,-8.6,-0.7,0.8,1.7,2.4,4.7,8.7,11.6,16.4,17.1,,2.5,,{눈}0510-0555.,
138,포항,2013-01-03,-7.0,-10.0,0752,-2.2,1530,,,,,,,9.5,270,1331,5.2,230,1044,3.2,2740,270,-21.9,16,1525,30.3,1.1,1032.5,1035.1,0914,1031.3,1423,1032.8,9.8,8.6,1200,2.08,12.12,,,,,,0.3,0.0,-5.5,-10.9,-2.4,-0.1,1.3,2.2,4.5,8.5,11.5,16.2,17.0,,1.8,,,
138,포항,2013-01-04,-5.4,-10.1,0642,0.4,1459,,,,,,,9.9,250,0528,5.0,250,0746,3.2,2799,250,-20.3,20,1401,30.9,1.2,1029.0,1033.0,0244,1026.2,2339,1029.3,9.8,9.0,1200,2.1,12.15,,,,,,0.0,0.0,-5.0,-11.1,-2.6,-0.7,0.9,1.8,4.5,8.4,11.5,16.1,17.0,,2.5,,,
138,포항,2013-01-05,-2.3,-6.6,0350,3.1,1432,,,,,,,15.0,270,0648,5.7,250,1256,3.5,3044,250,-17.4,18,1132,31.3,1.7,1023.1,1026.3,0001,1020.9,1412,1023.4,9.8,8.8,1200,2.1,11.76,,,,,,0.6,0.0,-3.3,-7.7,-1.7,-0.5,0.7,1.6,3.7,8.3,11.2,16.0,17.0,,2.3,,,
138,포항,2013-01-06,-0.5,-3.6,0654,4.5,1407,,,,,,,9.4,230,0302,4.1,250,2341,2.8,2396,250,-14.0,23,1416,37.1,2.1,1023.1,1025.0,0936,1022.1,1404,1023.4,9.8,6.9,1300,1.74,9.59,,,,,,3.9,0.0,-2.4,-5.5,-1.1,-0.2,0.8,1.5,3.5,8.2,11.1,16.0,17.0,,2.1,,,
138,포항,2013-01-07,0.0,-4.0,0521,5.8,1514,,,,,,,7.9,250,0925,5.5,250,0927,3.1,2679,250,-18.8,11,1518,24.5,1.4,1021.8,1024.2,0957,1020.0,1250,1022.1,9.8,8.7,1200,2.05,11.67,,,,,,1.6,0.0,-1.3,-5.5,-0.6,0.0,0.8,1.6,3.5,8.1,11.0,16.0,17.0,,2.9,,,
138,포항,2013-01-08,0.6,-3.0,0751,5.8,1436,,,,,,,7.4,250,1506,4.4,250,1515,2.9,2467,250,-14.7,18,1420,32.5,2.0,1022.3,1024.8,0941,1020.6,1433,1022.6,9.9,8.7,1200,1.94,11.23,,,,,,1.0,0.0,-0.8,-4.7,-0.3,0.3,0.9,1.6,3.6,8.0,10.9,15.9,17.0,,3.0,,,
138,포항,2013-01-09,-2.4,-6.0,2353,1.9,1432,,,,,,,10.5,290,1537,6.5,290,1551,3.3,2826,270,-19.9,12,1414,25.6,1.3,1023.1,1025.5,2216,1021.1,1324,1023.4,9.9,8.6,1200,2.13,11.19,,,,,,2.0,0.0,-2.1,-7.6,-0.8,0.3,1.0,1.6,3.5,7.2,10.7,15.8,17.0,,2.5,,,
138,포항,2013-01-10,-3.6,-7.7,0645,2.7,1429,,,,,,,10.9,340,1441,6.3,250,1146,3.3,2813,250,-21.9,11,1443,23.8,1.1,1027.5,1030.0,2334,1025.0,0030,1027.8,9.9,9.4,1200,2.13,12.66,,,,,,0.0,0.0,-3.3,-9.7,-1.4,0.0,0.9,1.6,3.5,7.7,10.7,15.8,17.0,,2.6,,,
138,포항,2013-01-11,-0.9,-6.8,0646,5.2,1456,,,,,,,7.4,340,1112,4.4,250,0730,2.8,2450,250,-15.7,18,1428,32.5,1.8,1028.2,1031.3,0845,1025.3,2317,1028.5,9.9,8.3,1200,2.09,12.0,,,,,,2.1,0.0,-1.6,-8.3,-1.0,0.0,0.8,1.5,3.4,7.6,10.5,15.7,17.0,,2.4,,,
138,포항,2013-01-12,3.7,-2.5,0709,10.3,1413,,,,,,,7.8,250,1304,4.7,230,1306,2.1,1806,250,-8.2,30,1427,42.0,3.4,1023.7,1026.1,0206,1022.0,1330,1024.0,9.9,8.8,1200,1.95,11.23,,,,,,0.5,0.0,0.8,-8.6,0.4,0.9,1.1,1.6,3.5,7.6,10.5,15.7,17.0,,2.6,,{연무}2330-{연무}{강도0}2400-,
