stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
212,ȫõ,2013-01-01,-9.5,-16.6,0440,-3.7,1423,,,,,,2.5,2.6,50,0318,1.5,160,2106,0.5,425,50,-12.0,68,1215,82.1,2.6,1001.4,1023.4,0027,1017.7,1305,1019.8,9.6,2.0,,,,,,,,,,,-1.9,-8.6,,,,,,,,,,,,,,
212,ȫõ,2013-01-02,-11.4,-18.4,2346,-4.0,0046,,,,,,0.5,10.8,290,1144,5.9,270,1132,2.7,2348,270,-22.6,26,0958,41.8,1.1,1011.9,1036.5,2335,1018.4,0001,1030.6,9.6,7.7,,,,,,,,,,,-0.8,-4.5,,,,,,,,,,,,,,
212,ȫõ,2013-01-03,-17.0,-24.1,0737,-7.9,1345,,,,,,,5.2,270,1414,2.9,290,1414,0.9,767,70,-23.4,27,1429,61.0,1.0,1018.3,1040.2,0902,1035.0,1421,1037.6,9.6,7.8,,,,,,,,,,,-1.4,-5.7,,,,,,,,,,,,,,
212,ȫõ,2013-01-04,-15.8,-23.5,0739,-5.6,1456,,,,,,,3.3,200,1730,1.8,180,1728,0.5,425,160,-21.7,32,1445,63.4,1.1,1014.6,1038.0,0324,1030.1,1531,1033.7,9.7,7.8,,,,,,,,,,,-1.7,-6.7,,,,,,,,,,,,,,
212,ȫõ,2013-01-05,-13.0,-21.4,0616,-3.8,1425,,,,,,,4.1,270,1659,1.9,250,1701,0.5,433,50,-17.3,39,1313,71.6,1.7,1009.1,1031.1,0003,1024.1,1432,1027.9,9.7,4.8,,,,,,,,,,,-1.8,-7.2,,,,,,,,,,,,,,
212,ȫõ,2013-01-06,-10.8,-17.2,0801,-0.6,1444,,,,,,,3.3,290,1458,2.2,320,1545,0.4,374,180,-15.5,30,1602,70.3,1.9,1008.4,1029.3,0654,1024.6,1349,1027.0,9.7,7.7,,,,,,,,,,,-1.6,-6.3,,,,,,,,,,,,,,
212,ȫõ,2013-01-07,-9.6,-17.2,0622,-0.1,1350,,,,,,,2.9,70,1027,1.7,50,1030,0.5,450,50,-14.9,24,1349,68.6,2.0,1007.8,1028.9,0920,1023.4,1352,1026.3,9.7,6.5,,,,,,,,,,,-1.6,-6.7,,,,,,,,,,,,,,
212,ȫõ,2013-01-08,-8.3,-14.7,0731,0.3,1318,,,,,,,6.0,270,1614,3.5,270,1518,0.8,682,250,-14.7,30,1349,63.6,2.0,1007.7,1029.0,0946,1023.8,1349,1026.1,9.7,7.7,,,,,,,,,,,-1.5,-15.3,,,,,,,,,,,,,,
212,ȫõ,2013-01-09,-11.2,-16.9,0810,-4.1,1450,,,,,,,6.6,270,1221,4.0,270,1228,1.1,985,270,-19.4,22,1415,55.3,1.3,1008.6,1029.4,2348,1024.6,1404,1027.3,9.7,7.9,,,,,,,,,,,-2.1,-20.9,,,,,,,,,,,,,,
212,ȫõ,2013-01-10,-12.4,-20.6,0728,-2.7,1412,,,,,,,4.7,360,1643,2.7,250,1653,0.7,581,70,-20.1,21,1447,57.5,1.3,1012.8,1033.4,0953,1029.3,0005,1031.6,9.7,7.9,,,,,,,,,,,-2.7,-22.9,,,,,,,,,,,,,,
212,ȫõ,2013-01-11,-10.0,-17.8,0710,-2.1,1534,,,,,,,2.9,50,0650,2.0,50,0959,0.5,451,50,-14.2,45,1337,72.0,2.2,1012.5,1034.9,0301,1027.3,2029,1031.1,9.8,3.0,,,,,,,,,,,-2.6,-19.5,,,,,,,,,,,,,,
212,ȫõ,2013-01-12,-4.1,-9.4,0110,2.4,1403,,,,,,0.3,3.0,70,1258,1.8,50,1259,0.5,427,50,-7.0,61,1403,81.0,3.6,1007.5,1028.2,0153,1023.9,1337,1025.6,9.8,2.1,,,,,,,,,,,-1.3,-13.4,,,,,,,,,,,,,,
212,ȫõ,2013-01-13,-4.9,-8.6,0733,2.2,1452,,,,,,,2.9,290,1543,1.9,320,1544,0.5,440,50,-7.7,48,1509,81.4,3.4,1007.4,1028.8,0824,1021.7,1650,1025.5,9.8,1.1,,,,,,,,,,,-1.1,-13.1,,,,,,,,,,,,,,
212,ȫõ,2013-01-14,-6.1,-11.0,0819,2.4,1401,,,,,,,7.7,230,1411,3.6,250,1419,0.8,675,50,-9.6,42,1556,78.4,3.0,1003.8,1025.7,2354,1017.6,1416,1022.0,9.8,6.6,,,,,,,,,,,-1.3,-14.5,,,,,,,,,,,,,,
212,ȫõ,2013-01-15,-6.4,-13.2,0748,1.8,1511,,,,,,,2.3,70,1145,1.5,180,1718,0.4,343,70,-10.6,42,1507,73.9,2.8,1007.9,1029.3,0840,1023.4,1615,1026.2,9.8,3.6,,,,,,,,,,,-1.7,-15.6,,,,,,,,,,,,,,
212,ȫõ,2013-01-16,-4.9,-10.3,0333,0.9,1433,,,,,,,4.9,290,1659,2.6,270,1704,0.6,538,70,-8.6,52,1636,75.8,3.2,1006.2,1025.7,0323,1021.7,1431,1024.4,9.9,1.1,,,,,,,,,,,-1.4,-12.9,,,,,,,,,,,,,,
212,ȫõ,2013-01-17,-5.1,-9.9,2356,0.2,1435,,,,,,,4.8,250,1729,2.8,250,1735,0.9,748,270,-10.2,43,1459,68.9,2.8,1010.6,1031.6,2237,1025.5,0001,1028.8,9.9,7.0,,,,,,,,,,,-1.0,-14.2,,,,,,,,,,,,,,
212,ȫõ,2013-01-18,-8.3,-13.8,0729,-0.6,1335,,,,,,,4.8,320,1430,2.8,270,1531,0.7,618,250,-14.2,29,1435,65.8,2.1,1012.6,1033.9,0954,1028.7,1516,1031.1,9.9,8.0,,,,,,,,,,,-1.8,-16.1,,,,,,,,,,,,,,
212,ȫõ,2013-01-19,-5.0,-10.3,0003,3.5,1516,,,,,,,3.8,70,0203,2.1,50,0204,0.6,543,50,-9.2,45,1516,73.8,3.1,1012.1,1033.3,2359,1027.8,1445,1030.4,10.0,3.5,,,,,,,,,,,-1.4,-12.3,,,,,,,,,,,,,,
212,ȫõ,2013-01-20,-3.7,-10.8,0601,3.4,1519,,,,,,,3.8,70,1249,2.1,50,1254,0.5,416,270,-8.1,46,1521,73.0,3.4,1014.6,1035.9,0908,1030.6,1509,1032.8,10.0,1.2,,,,,,,,,,,-1.4,-13.5,,,,,,,,,,,,,,
212,ȫõ,2013-01-21,0.0,-1.8,0130,1.2,1452,,,,,,19.5,4.9,70,1612,2.3,70,1618,0.7,604,90,-1.1,78,0001,92.5,5.7,1005.1,1031.2,0001,1018.3,2356,1022.9,10.0,0.0,,,,,,,,,,,-0.5,-3.0,,,,,,,,,,,,,,
212,ȫõ,2013-01-22,1.6,0.1,0018,4.6,1320,,,,,,1.0,3.2,70,1718,1.6,50,1712,0.5,424,110,0.0,76,1609,89.0,6.1,1004.0,1023.3,1037,1018.2,0016,1021.6,10.0,0.0,,,,,,,,,,,-0.1,-0.1,,,,,,,,,,,,,,
212,ȫõ,2013-01-23,0.9,0.0,0352,2.1,1424,,,,,,0.5,4.9,230,2121,2.5,250,2129,0.7,626,230,-0.4,75,2252,91.3,5.9,1001.5,1023.2,0029,1016.9,1555,1019.1,10.1,0.0,,,,,,,,,,,0.0,-0.3,,,,,,,,,,,,,,
212,ȫõ,2013-01-24,-1.1,-6.3,2355,2.0,1537,,,,,,0.5,11.2,290,2059,5.6,270,2106,2.4,2088,250,-8.3,23,2223,62.0,3.7,998.0,1018.7,2400,1011.8,1559,1015.7,10.1,0.5,,,,,,,,,,,0.1,-7.6,,,,,,,,,,,,,,
212,ȫõ,2013-01-25,-9.4,-12.0,2339,-6.0,1517,,,,,,,9.5,290,0137,4.8,250,1029,2.8,2390,250,-22.9,19,1631,33.3,1.0,1002.9,1022.7,1050,1018.7,0001,1021.3,10.1,8.6,,,,,,,,,,,0.0,-14.3,,,,,,,,,,,,,,
